Product Name,Category,Al-Sater Price (BHD),Al-Hali Supermarket Price (BHD),Lulu Hypermarket Price (BHD)
Salt & Vinegar Delights,Snacks & Savory,0.482,0.485,0.480
Butter Fresco,Snacks & Savory,0.686,0.699,0.675
Butter Safari Chips,Snacks & Savory,0.378,0.386,0.346
Pizza Doritos,Snacks & Savory,0.791,0.775,0.741
Salted Pringles,Snacks & Savory,0.763,0.785,0.744
Ketchup Cheetos,Snacks & Savory,0.644,0.641,0.607
Ketchup Unicorn,Snacks & Savory,0.178,0.176,0.160
Chili Unicorn,Snacks & Savory,0.183,0.176,0.177
Ketchup Lays,Snacks & Savory,0.508,0.522,0.476
Beetroot Lays,Snacks & Savory,0.708,0.685,0.705
Pizza Doritos,Snacks & Savory,0.747,0.765,0.691
Chili Delights,Snacks & Savory,0.153,0.147,0.141
Hot & Fire Lays,Snacks & Savory,0.588,0.577,0.573
Butter Al Baker,Snacks & Savory,0.765,0.781,0.723
Sour Cream & Onion Doritos,Snacks & Savory,0.219,0.219,0.206
Hot & Fire Oman Chips,Snacks & Savory,0.782,0.805,0.758
Beetroot Lays,Snacks & Savory,0.317,0.322,0.307
Pizza Delights,Snacks & Savory,0.765,0.771,0.735
Butter Oman Chips,Snacks & Savory,0.753,0.768,0.681
Sour Cream & Onion Twist克斯,Snacks & Savory,0.364,0.369,0.364
Hot & Fire Lays,Snacks & Savory,0.625,0.613,0.614
Salted Lays,Snacks & Savory,0.428,0.421,0.397
Pizza Twist克斯,Snacks & Savory,0.584,0.580,0.569
Hot & Fire Delights,Snacks & Savory,0.510,0.514,0.498
Salted Delights,Snacks & Savory,0.269,0.260,0.249
Salted Pringles,Snacks & Savory,0.570,0.570,0.533
Salt & Vinegar Safari Chips,Snacks & Savory,0.570,0.565,0.557
Cheese Al Baker,Snacks & Savory,0.697,0.693,0.666
Beetroot Al Baker,Snacks & Savory,0.513,0.507,0.483
Hot & Fire Doritos,Snacks & Savory,0.548,0.556,0.543
Pizza Oman Chips,Snacks & Savory,0.526,0.526,0.503
Cheese Delights,Snacks & Savory,0.344,0.341,0.337
Butter Twist克斯,Snacks & Savory,0.704,0.722,0.644
Salted Safari Chips,Snacks & Savory,0.444,0.431,0.420
Pizza Oman Chips,Snacks & Savory,0.445,0.434,0.429
Ketchup Al Baker,Snacks & Savory,0.476,0.470,0.456
Pizza Al Baker,Snacks & Savory,0.588,0.567,0.570
Ketchup Fresco,Snacks & Savory,0.712,0.706,0.710
Ketchup Unicorn,Snacks & Savory,0.129,0.124,0.120
Hot & Fire Cheetos,Snacks & Savory,0.484,0.480,0.453
Salted Oman Chips,Snacks & Savory,0.452,0.454,0.409
Beetroot Fresco,Snacks & Savory,0.581,0.576,0.532
Butter Lays,Snacks & Savory,0.708,0.677,0.679
Sour Cream & Onion Pringles,Snacks & Savory,0.439,0.439,0.411
Cheese Safari Chips,Snacks & Savory,0.623,0.594,0.576
Ketchup Twist克斯,Snacks & Savory,0.727,0.720,0.693
Butter Oman Chips,Snacks & Savory,0.348,0.342,0.317
Hot & Fire Twist克斯,Snacks & Savory,0.228,0.227,0.224
Butter Cheetos,Snacks & Savory,0.475,0.460,0.444
Chili Fresco,Snacks & Savory,0.349,0.350,0.331
Pizza Pringles,Snacks & Savory,0.511,0.516,0.482
Butter Delights,Snacks & Savory,0.299,0.293,0.288
Sour Cream & Onion Oman Chips,Snacks & Savory,0.449,0.438,0.446
Pizza Doritos,Snacks & Savory,0.258,0.253,0.245
Sour Cream & Onion Al Baker,Snacks & Savory,0.728,0.696,0.693
Hot & Fire Safari Chips,Snacks & Savory,0.788,0.756,0.741
Chili Al Baker,Snacks & Savory,0.104,0.107,0.099
Ketchup Cheetos,Snacks & Savory,0.675,0.680,0.644
Ketchup Unicorn,Snacks & Savory,0.687,0.664,0.685
Ketchup Pringles,Snacks & Savory,0.240,0.242,0.229
Butter Lays,Snacks & Savory,0.637,0.610,0.606
Ketchup Pringles,Snacks & Savory,0.136,0.133,0.124
Butter Twist克斯,Snacks & Savory,0.793,0.774,0.778
Hot & Fire Lays,Snacks & Savory,0.102,0.098,0.097
Salt & Vinegar Cheetos,Snacks & Savory,0.656,0.629,0.646
Hot & Fire Oman Chips,Snacks & Savory,0.612,0.627,0.562
Salted Delights,Snacks & Savory,0.619,0.616,0.609
Beetroot Safari Chips,Snacks & Savory,0.625,0.634,0.614
Hot & Fire Doritos,Snacks & Savory,0.265,0.265,0.263
Butter Fresco,Snacks & Savory,0.375,0.381,0.354
Pizza Delights,Snacks & Savory,0.478,0.471,0.458
Salted Lays,Snacks & Savory,0.374,0.371,0.339
Ketchup Safari Chips,Snacks & Savory,0.480,0.473,0.448
Sour Cream & Onion Delights,Snacks & Savory,0.586,0.565,0.579
Chili Lays,Snacks & Savory,0.619,0.616,0.619
Salted Fresco,Snacks & Savory,0.595,0.602,0.544
Pizza Pringles,Snacks & Savory,0.600,0.594,0.585
Pizza Cheetos,Snacks & Savory,0.476,0.467,0.450
Sour Cream & Onion Pringles,Snacks & Savory,0.452,0.449,0.429
Cheese Pringles,Snacks & Savory,0.109,0.109,0.104
Hot & Fire Unicorn,Snacks & Savory,0.679,0.697,0.634
Sour Cream & Onion Cheetos,Snacks & Savory,0.397,0.386,0.382
Sour Cream & Onion Unicorn,Snacks & Savory,0.454,0.454,0.409
Chili Al Baker,Snacks & Savory,0.743,0.753,0.670
Salted Unicorn,Snacks & Savory,0.503,0.502,0.474
Beetroot Safari Chips,Snacks & Savory,0.748,0.738,0.682
Butter Doritos,Snacks & Savory,0.687,0.660,0.682
Salt & Vinegar Cheetos,Snacks & Savory,0.259,0.259,0.243
Beetroot Doritos,Snacks & Savory,0.244,0.247,0.234
Chili Delights,Snacks & Savory,0.476,0.487,0.445
Cheese Oman Chips,Snacks & Savory,0.743,0.741,0.671
Ketchup Al Baker,Snacks & Savory,0.274,0.273,0.251
Sour Cream & Onion Doritos,Snacks & Savory,0.318,0.322,0.295
Cheese Unicorn,Snacks & Savory,0.564,0.544,0.562
Chili Lays,Snacks & Savory,0.390,0.373,0.390
Salt & Vinegar Lays,Snacks & Savory,0.517,0.494,0.504
Sour Cream & Onion Al Baker,Snacks & Savory,0.729,0.705,0.670
Ketchup Safari Chips,Snacks & Savory,0.146,0.148,0.138
Pizza Oman Chips,Snacks & Savory,0.409,0.402,0.391
Salted Pringles,Snacks & Savory,0.334,0.319,0.326
Butter Unicorn,Snacks & Savory,0.728,0.722,0.713
Cheese Twist克斯,Snacks & Savory,0.707,0.695,0.675
Sour Cream & Onion Delights,Snacks & Savory,0.237,0.235,0.227
Hot & Fire Fresco,Snacks & Savory,0.225,0.225,0.208
Ketchup Oman Chips,Snacks & Savory,0.270,0.272,0.266
Chili Al Baker,Snacks & Savory,0.761,0.732,0.716
Cheese Twist克斯,Snacks & Savory,0.109,0.104,0.100
Ketchup Delights,Snacks & Savory,0.508,0.500,0.503
Chili Doritos,Snacks & Savory,0.335,0.340,0.314
Chili Twist克斯,Snacks & Savory,0.537,0.528,0.513
Hot & Fire Oman Chips,Snacks & Savory,0.306,0.314,0.299
Salted Safari Chips,Snacks & Savory,0.708,0.700,0.701
Cheese Lays,Snacks & Savory,0.116,0.113,0.111
Salt & Vinegar Fresco,Snacks & Savory,0.253,0.253,0.238
Butter Unicorn,Snacks & Savory,0.730,0.734,0.707
Cheese Cheetos,Snacks & Savory,0.471,0.478,0.447
Salted Oman Chips,Snacks & Savory,0.384,0.380,0.373
Butter Doritos,Snacks & Savory,0.198,0.192,0.183
Sour Cream & Onion Al Baker,Snacks & Savory,0.276,0.276,0.262
Salted Unicorn,Snacks & Savory,0.393,0.385,0.374
Pizza Oman Chips,Snacks & Savory,0.617,0.590,0.593
Hot & Fire Unicorn,Snacks & Savory,0.686,0.676,0.680
Salt & Vinegar Al Baker,Snacks & Savory,0.527,0.541,0.495
Pizza Safari Chips,Snacks & Savory,0.195,0.193,0.181
Ketchup Pringles,Snacks & Savory,0.517,0.493,0.491
Cheese Al Baker,Snacks & Savory,0.536,0.530,0.501
Salted Safari Chips,Snacks & Savory,0.389,0.391,0.373
Salt & Vinegar Fresco,Snacks & Savory,0.153,0.146,0.138
Pizza Delights,Snacks & Savory,0.513,0.502,0.466
Salted Al Baker,Snacks & Savory,0.196,0.201,0.185
Ketchup Safari Chips,Snacks & Savory,0.613,0.622,0.592
Pizza Cheetos,Snacks & Savory,0.786,0.804,0.758
Butter Al Baker,Snacks & Savory,0.136,0.136,0.123
Salted Twist克斯,Snacks & Savory,0.226,0.225,0.224
Salt & Vinegar Doritos,Snacks & Savory,0.308,0.315,0.307
Cheese Twist克斯,Snacks & Savory,0.622,0.594,0.588
Butter Al Baker,Snacks & Savory,0.551,0.552,0.516
Ketchup Oman Chips,Snacks & Savory,0.587,0.574,0.571
Sour Cream & Onion Twist克斯,Snacks & Savory,0.478,0.484,0.445
Salted Oman Chips,Snacks & Savory,0.720,0.719,0.665
Ketchup Twist克斯,Snacks & Savory,0.709,0.675,0.700
Ketchup Oman Chips,Snacks & Savory,0.149,0.142,0.135
Hot & Fire Lays,Snacks & Savory,0.436,0.434,0.404
Butter Fresco,Snacks & Savory,0.164,0.160,0.156
Salted Lays,Snacks & Savory,0.177,0.173,0.164
Cheese Pringles,Snacks & Savory,0.264,0.252,0.238
Salted Fresco,Snacks & Savory,0.374,0.359,0.372
Hot & Fire Doritos,Snacks & Savory,0.163,0.160,0.161
Cheese Safari Chips,Snacks & Savory,0.217,0.223,0.200
Pizza Pringles,Snacks & Savory,0.525,0.520,0.485
Beetroot Oman Chips,Snacks & Savory,0.254,0.245,0.248
Hot & Fire Cheetos,Snacks & Savory,0.140,0.144,0.138
Chili Delights,Snacks & Savory,0.796,0.767,0.748
Cheese Oman Chips,Snacks & Savory,0.587,0.565,0.576
Sour Cream & Onion Cheetos,Snacks & Savory,0.624,0.595,0.617
Cheese Doritos,Snacks & Savory,0.420,0.412,0.389
Ketchup Fresco,Snacks & Savory,0.769,0.784,0.754
Beetroot Safari Chips,Snacks & Savory,0.486,0.465,0.457
Sour Cream & Onion Cheetos,Snacks & Savory,0.587,0.560,0.560
Hot & Fire Doritos,Snacks & Savory,0.794,0.758,0.785
Butter Delights,Snacks & Savory,0.500,0.501,0.477
Pizza Lays,Snacks & Savory,0.465,0.474,0.430
Beetroot Al Baker,Snacks & Savory,0.334,0.324,0.332
Pizza Pringles,Snacks & Savory,0.232,0.237,0.231
Ketchup Fresco,Snacks & Savory,0.715,0.680,0.702
Salt & Vinegar Doritos,Snacks & Savory,0.213,0.216,0.209
Cheese Twist克斯,Snacks & Savory,0.301,0.301,0.300
Sour Cream & Onion Lays,Snacks & Savory,0.282,0.282,0.269
Pizza Delights,Snacks & Savory,0.298,0.284,0.281
Hot & Fire Oman Chips,Snacks & Savory,0.172,0.176,0.167
Chili Oman Chips,Snacks & Savory,0.311,0.313,0.282
Pizza Unicorn,Snacks & Savory,0.342,0.342,0.309
Chili Oman Chips,Snacks & Savory,0.553,0.552,0.519
Salted Al Baker,Snacks & Savory,0.327,0.323,0.319
Salt & Vinegar Unicorn,Snacks & Savory,0.412,0.400,0.412
Ketchup Lays,Snacks & Savory,0.416,0.401,0.407
Chili Al Baker,Snacks & Savory,0.688,0.696,0.635
Ketchup Al Baker,Snacks & Savory,0.766,0.737,0.723
Hot & Fire Doritos,Snacks & Savory,0.547,0.537,0.507
Salted Delights,Snacks & Savory,0.325,0.328,0.317
Salted Delights,Snacks & Savory,0.556,0.545,0.548
Sour Cream & Onion Al Baker,Snacks & Savory,0.211,0.204,0.192
Cheese Safari Chips,Snacks & Savory,0.633,0.633,0.578
Sour Cream & Onion Doritos,Snacks & Savory,0.745,0.745,0.730
Salt & Vinegar Fresco,Snacks & Savory,0.188,0.189,0.177
Beetroot Cheetos,Snacks & Savory,0.213,0.213,0.199
Sour Cream & Onion Oman Chips,Snacks & Savory,0.403,0.415,0.369
Cheese Doritos,Snacks & Savory,0.576,0.565,0.575
Beetroot Cheetos,Snacks & Savory,0.702,0.711,0.635
Ketchup Cheetos,Snacks & Savory,0.173,0.168,0.173
Pizza Cheetos,Snacks & Savory,0.247,0.241,0.241
Salted Oman Chips,Snacks & Savory,0.462,0.442,0.432
Chili Lays,Snacks & Savory,0.350,0.342,0.349
Butter Unicorn,Snacks & Savory,0.660,0.638,0.605
Sour Cream & Onion Lays,Snacks & Savory,0.546,0.550,0.493
Beetroot Cheetos,Snacks & Savory,0.136,0.135,0.132
Sour Cream & Onion Safari Chips,Snacks & Savory,0.600,0.608,0.560
Salt & Vinegar Al Baker,Snacks & Savory,0.563,0.560,0.540
Butter Cheetos,Snacks & Savory,0.437,0.417,0.400
Cheese Al Baker,Snacks & Savory,0.142,0.138,0.130
Butter Delights,Snacks & Savory,0.330,0.326,0.322
Hot & Fire Twist克斯,Snacks & Savory,0.561,0.555,0.536
Ketchup Oman Chips,Snacks & Savory,0.260,0.268,0.259
Butter Delights,Snacks & Savory,0.382,0.370,0.360
Salt & Vinegar Lays,Snacks & Savory,0.424,0.432,0.412
Chili Safari Chips,Snacks & Savory,0.540,0.545,0.527
Cheese Safari Chips,Snacks & Savory,0.707,0.704,0.667
Cheese Doritos,Snacks & Savory,0.441,0.450,0.437
Salt & Vinegar Cheetos,Snacks & Savory,0.294,0.293,0.291
Cheese Delights,Snacks & Savory,0.542,0.547,0.495
Chili Safari Chips,Snacks & Savory,0.736,0.710,0.680
Salt & Vinegar Oman Chips,Snacks & Savory,0.389,0.372,0.367
Sour Cream & Onion Cheetos,Snacks & Savory,0.506,0.508,0.460
Beetroot Lays,Snacks & Savory,0.779,0.756,0.752
Sour Cream & Onion Lays,Snacks & Savory,0.519,0.510,0.479
Butter Al Baker,Snacks & Savory,0.151,0.146,0.144
Beetroot Unicorn,Snacks & Savory,0.402,0.390,0.387
Beetroot Lays,Snacks & Savory,0.217,0.209,0.196
Hot & Fire Doritos,Snacks & Savory,0.473,0.479,0.459
Pizza Safari Chips,Snacks & Savory,0.244,0.234,0.226
Beetroot Oman Chips,Snacks & Savory,0.472,0.484,0.427
Ketchup Twist克斯,Snacks & Savory,0.417,0.427,0.388
Ketchup Lays,Snacks & Savory,0.129,0.124,0.129
Cheese Safari Chips,Snacks & Savory,0.326,0.335,0.312
Cheese Safari Chips,Snacks & Savory,0.340,0.337,0.310
Cheese Pringles,Snacks & Savory,0.241,0.242,0.240
Salt & Vinegar Lays,Snacks & Savory,0.571,0.563,0.563
Cheese Cheetos,Snacks & Savory,0.563,0.579,0.528
Cheese Oman Chips,Snacks & Savory,0.532,0.542,0.509
Sour Cream & Onion Al Baker,Snacks & Savory,0.657,0.672,0.631
Hot & Fire Doritos,Snacks & Savory,0.504,0.493,0.462
Beetroot Cheetos,Snacks & Savory,0.707,0.728,0.689
Beetroot Doritos,Snacks & Savory,0.176,0.176,0.172
Pizza Pringles,Snacks & Savory,0.407,0.416,0.402
Ketchup Twist克斯,Snacks & Savory,0.708,0.694,0.658
Beetroot Twist克斯,Snacks & Savory,0.330,0.330,0.317
Ketchup Doritos,Snacks & Savory,0.372,0.367,0.344
Ketchup Lays,Snacks & Savory,0.259,0.248,0.249
Cheese Unicorn,Snacks & Savory,0.424,0.416,0.418
Pizza Oman Chips,Snacks & Savory,0.740,0.751,0.674
Cheese Doritos,Snacks & Savory,0.469,0.455,0.444
Salt & Vinegar Al Baker,Snacks & Savory,0.669,0.674,0.666
Salt & Vinegar Doritos,Snacks & Savory,0.402,0.411,0.365
Chili Fresco,Snacks & Savory,0.749,0.715,0.744
Ketchup Cheetos,Snacks & Savory,0.171,0.169,0.158
Ketchup Pringles,Snacks & Savory,0.507,0.485,0.493
Salted Oman Chips,Snacks & Savory,0.784,0.796,0.747
Butter Twist克斯,Snacks & Savory,0.660,0.637,0.613
Butter Lays,Snacks & Savory,0.230,0.235,0.217
Salt & Vinegar Cheetos,Snacks & Savory,0.671,0.657,0.639
Salt & Vinegar Al Baker,Snacks & Savory,0.547,0.542,0.525
Beetroot Unicorn,Snacks & Savory,0.553,0.533,0.518
Sour Cream & Onion Unicorn,Snacks & Savory,0.639,0.636,0.591
Cheese Pringles,Snacks & Savory,0.612,0.623,0.592
Cheese Fresco,Snacks & Savory,0.637,0.613,0.600
Salted Doritos,Snacks & Savory,0.616,0.628,0.568
Pizza Lays,Snacks & Savory,0.117,0.117,0.112
Butter Al Baker,Snacks & Savory,0.280,0.280,0.254
Medium Bar Flake,Chocolates & Sweets,0.521,0.520,0.504
Single Piece Maltesers,Chocolates & Sweets,0.752,0.758,0.678
Large Bar Kinder,Chocolates & Sweets,0.964,0.942,0.955
With Hazelnut Bounty,Chocolates & Sweets,1.021,1.019,0.960
Single Piece KitKat,Chocolates & Sweets,0.629,0.601,0.599
Chocolate Balls Snickers,Chocolates & Sweets,0.244,0.244,0.226
Medium Bar Kinder,Chocolates & Sweets,1.068,1.034,1.010
Single Piece Galaxy,Chocolates & Sweets,0.221,0.217,0.207
Medium Bar Mars,Chocolates & Sweets,0.753,0.735,0.721
Mini Bag Maltesers,Chocolates & Sweets,1.448,1.449,1.413
Milk Chocolate Cadbury,Chocolates & Sweets,0.281,0.277,0.274
With Hazelnut KitKat,Chocolates & Sweets,1.224,1.254,1.130
Large Bar Toblerone,Chocolates & Sweets,0.356,0.366,0.353
Regular Fingers Toblerone,Chocolates & Sweets,1.287,1.276,1.239
With Hazelnut Snickers,Chocolates & Sweets,1.170,1.123,1.150
Mini Bag Galaxy,Chocolates & Sweets,1.107,1.055,1.030
Medium Bar Snickers,Chocolates & Sweets,0.664,0.649,0.613
Large Bar KitKat,Chocolates & Sweets,0.686,0.676,0.659
Single Piece Cadbury,Chocolates & Sweets,1.391,1.377,1.390
Mini Bag Twix,Chocolates & Sweets,0.431,0.442,0.393
Large Bar Snickers,Chocolates & Sweets,1.060,1.052,1.030
Double Fingers Mars,Chocolates & Sweets,0.561,0.537,0.528
Medium Bar Snickers,Chocolates & Sweets,0.452,0.464,0.433
With Caramel Maltesers,Chocolates & Sweets,0.926,0.915,0.862
Single Piece KitKat,Chocolates & Sweets,1.270,1.239,1.264
With Caramel Galaxy,Chocolates & Sweets,1.050,1.008,0.995
With Caramel Bounty,Chocolates & Sweets,0.464,0.444,0.454
Mini Bag Toblerone,Chocolates & Sweets,0.743,0.712,0.716
Medium Bar M&Ms,Chocolates & Sweets,1.028,0.989,0.932
Medium Bar Mars,Chocolates & Sweets,0.771,0.736,0.771
With Caramel Kinder,Chocolates & Sweets,0.731,0.704,0.663
Large Bar Toblerone,Chocolates & Sweets,0.390,0.392,0.375
Double Fingers Bounty,Chocolates & Sweets,0.459,0.445,0.423
Mini Bag Bounty,Chocolates & Sweets,0.862,0.848,0.787
Large Bar Bounty,Chocolates & Sweets,0.646,0.635,0.635
Single Piece Twix,Chocolates & Sweets,1.451,1.407,1.325
Single Piece Twix,Chocolates & Sweets,1.217,1.213,1.178
Double Fingers Kinder,Chocolates & Sweets,0.986,0.962,0.970
Chocolate Balls Twix,Chocolates & Sweets,1.232,1.265,1.169
Regular Fingers Mars,Chocolates & Sweets,0.890,0.878,0.876
Chocolate Balls Cadbury,Chocolates & Sweets,0.809,0.778,0.754
Medium Bar Toblerone,Chocolates & Sweets,0.793,0.777,0.745
Milk Chocolate Galaxy,Chocolates & Sweets,1.210,1.236,1.205
With Hazelnut KitKat,Chocolates & Sweets,0.576,0.579,0.544
Milk Chocolate KitKat,Chocolates & Sweets,1.406,1.364,1.375
Double Fingers Toblerone,Chocolates & Sweets,1.040,1.062,1.002
Double Fingers KitKat,Chocolates & Sweets,0.850,0.818,0.828
Double Fingers KitKat,Chocolates & Sweets,1.068,1.018,0.970
Regular Fingers M&Ms,Chocolates & Sweets,0.247,0.236,0.223
Mini Bag Twix,Chocolates & Sweets,1.146,1.121,1.065
Mini Bag M&Ms,Chocolates & Sweets,1.196,1.199,1.099
Milk Chocolate M&Ms,Chocolates & Sweets,0.283,0.284,0.276
Single Piece Maltesers,Chocolates & Sweets,0.262,0.260,0.259
With Hazelnut Kinder,Chocolates & Sweets,0.993,0.974,0.914
Mini Bag KitKat,Chocolates & Sweets,0.980,0.992,0.945
Double Fingers Maltesers,Chocolates & Sweets,0.207,0.213,0.203
With Hazelnut Toblerone,Chocolates & Sweets,0.304,0.301,0.302
Medium Bar Toblerone,Chocolates & Sweets,0.323,0.316,0.321
With Caramel Cadbury,Chocolates & Sweets,0.652,0.642,0.615
Medium Bar Flake,Chocolates & Sweets,1.423,1.379,1.298
Regular Fingers Mars,Chocolates & Sweets,1.022,0.994,1.003
Double Fingers Cadbury,Chocolates & Sweets,1.293,1.323,1.196
With Hazelnut Twix,Chocolates & Sweets,1.160,1.154,1.065
Single Piece M&Ms,Chocolates & Sweets,1.167,1.134,1.113
Medium Bar Snickers,Chocolates & Sweets,0.328,0.331,0.322
Double Fingers Mars,Chocolates & Sweets,1.285,1.296,1.226
With Hazelnut KitKat,Chocolates & Sweets,0.976,0.935,0.893
With Caramel Cadbury,Chocolates & Sweets,1.178,1.134,1.115
Regular Fingers Kinder,Chocolates & Sweets,1.151,1.175,1.068
Milk Chocolate Mars,Chocolates & Sweets,1.038,1.012,1.011
Medium Bar Cadbury,Chocolates & Sweets,0.630,0.638,0.602
Milk Chocolate Galaxy,Chocolates & Sweets,1.177,1.121,1.147
Medium Bar Flake,Chocolates & Sweets,1.174,1.179,1.145
Single Piece Cadbury,Chocolates & Sweets,1.333,1.373,1.249
Mini Bag Bounty,Chocolates & Sweets,1.204,1.165,1.100
Chocolate Balls Galaxy,Chocolates & Sweets,0.153,0.148,0.138
With Caramel Bounty,Chocolates & Sweets,0.673,0.661,0.665
With Hazelnut Mars,Chocolates & Sweets,0.291,0.282,0.282
With Hazelnut Kinder,Chocolates & Sweets,1.063,1.078,0.985
